/location/country/form of government	form of government
/government/politician/government positions held./government/government position held/governmental body	governmental body
/broadcast/genre/content	content
/award/hall of fame inductee/hall of fame inductions./award/hall of fame induction/hall of fame	hall of fame
/baseball/baseball player/current team./sports/sports team roster/position	position
/language/human language/language family	language family
/medicine/disease cause/diseases	diseases
/geography/island/body of water	body of water
/olympics/olympic sport/athletes./olympics/olympic athlete affiliation/athlete	athlete
/base/academyawards/host of oscar show/oscar show hosted	oscar show hosted
/government/political party/ideology	ideology
/symbols/name source/namesakes	namesakes
/film/film festival/individual festivals	individual festivals
/base/events/performer/performances./base/events/performance/performer	performer
/baseball/baseball team/historical roster./sports/sports team roster/player	player
/government/governmental body/members./government/government position held/appointed by	appointed by
/film/film crewmember/films crewed./film/film crew gig/film crew role	film crew role
/base/parody/parodied subject/parodies	parodies
/base/activism/activist/area of activism	area of activism
/organization/organization founder/organizations founded	organizations founded
/aviation/aircraft owner/aircraft fleet composition./aviation/aircraft ownership count/aircraft model	aircraft model
/book/author/school or movement	school or movement
/government/government office category/officeholders./government/government position held/appointed by	appointed by
/american football/football team/historical roster./sports/sports team roster/player	player
/base/fight/crime type/victims of this crime type	victims of this crime type
/olympics/olympic participating country/medals won./olympics/olympic medal honor/medalist	medalist
/cvg/cvg publisher/games published	games published
/film/film character/portrayed in films dubbed./film/dubbing performance/language	language
/medicine/drug ingredient/active moiety of drug	active moiety of drug
/user/alexander/philosophy/philosopher/era	era
/government/government office category/officeholders./government/government position held/legislative sessions	legislative sessions
/user/alexander/philosophy/era/philosophers	philosophers
/location/country/currency used	currency used
/user/alexander/misc/murdered person/place murdered	place murdered
/religion/religion/deities	deities
/film/film/dubbing performances./film/dubbing performance/actor	actor
/sports/pro athlete/teams./american football/football historical roster position/team	team
/education/field of study/subdisciplines	subdisciplines
/military/military combatant/force deployments./military/force strength/military conflict	military conflict
/dataworld/gardening hint/split to	split to
/broadcast/content/producer	producer
/ice hockey/hockey team/historical roster./ice hockey/hockey previous roster position/player	player
/celebrities/sexual orientation/celebrities./celebrities/sexual orientation phase/celebrity	celebrity
/base/popstra/celebrity/endorsements./base/popstra/paid support/company	company
/base/localfood/produce/availability./base/localfood/produce availability/seasonal months	seasonal months
/film/film/dubbing performances./film/dubbing performance/language	language
/medicine/disease/risk factors	risk factors
/government/political district/representatives./government/government position held/governmental body	governmental body
/media common/dedicator/dedications./media common/dedication/dedicated to	dedicated to
/base/parody/parody/parody of	parody of
/film/actor/film./film/performance/character	character
/location/location/partially containedby	partially containedby
/people/place of interment/interred here	interred here
/business/company type/companies of this type	companies of this type
/sports/sports team/roster./basketball/basketball historical roster position/player	player
/military/military conflict/military personnel involved	military personnel involved
/sports/sports award type/winners./sports/sports award/award winner	award winner
/medicine/disease/includes diseases	includes diseases
/fictional universe/fictional character/powers or abilities	powers or abilities
/award/award presenting organization/award categories presented	award categories presented
/business/business operation/current liabilities./measurement unit/dated money value/currency	currency
/olympics/olympic games/medals awarded./olympics/olympic medal honor/medalist	medalist
/basketball/basketball player/position s	position s
/language/language family/languages	languages
/tv/tv writer/episodes written	episodes written
/military/military conflict/force strengths./military/force strength/combatant	combatant
/computer/programming language/language paradigms	language paradigms
/film/film/prequel	prequel
/base/thoroughbredracing/thoroughbred racehorse sex/horses of this sex	horses of this sex
/soccer/football player/current team./soccer/football roster position/position	position
/base/americancomedy/comedy group member/belongs to./base/americancomedy/comedy group membership/group	group
/medicine/medical treatment/used to treat	used to treat
/sports/pro athlete/teams./soccer/football roster position/position	position
/user/mt/default domain/metabolite/biofluid location	biofluid location
/medicine/disease/symptoms	symptoms
/base/localfood/seasonal month/produce available./base/localfood/produce availability/seasonal months	seasonal months
/food/dish/ingredients	ingredients
/user/alexbl/honorary title/titled person/honorary title./user/alexbl/honorary title/honorary title holding/honorary title	honorary title
/travel/travel destination/how to get here./travel/transportation/transport operator	transport operator
/tv/tv character/appeared in tv program./tv/regular tv appearance/actor	actor
/base/locations/countries/continent	continent
/royalty/chivalric order member/belongs to order./royalty/chivalric order membership/order	order
/royalty/kingdom/rulers	rulers
/government/government agency/jurisdiction	jurisdiction
/tv/tv location/tv shows filmed here	tv shows filmed here
/film/actor/dubbing performances./film/dubbing performance/language	language
/tv/tv program/filming locations	filming locations
/tv/tv actor/starring roles./tv/regular tv appearance/character	character
/basketball/basketball team/roster./sports/sports team roster/player	player
/organization/organization/board members./organization/organization board membership/member	member
/broadcast/content/artist	artist
/government/government office or title/governmental body if any	governmental body if any
/base/schemastaging/tv program extra/regular dubbing performances./base/schemastaging/tv star dubbing performance/language	language
/food/diet/followers	followers
/base/nobelprizes/nobel subject area/nobel awards./base/nobelprizes/nobel honor/nobel prize winner	nobel prize winner
/sports/sports position/players./soccer/football roster position/player	player
/visual art/art subject/artwork on the subject	artwork on the subject
/media common/dedicatee/dedications./media common/dedication/dedicated by	dedicated by
/food/dish/cuisine	cuisine
/tv/tv program/regular personal appearances./tv/tv regular personal appearance/appearance type	appearance type
/business/consumer product/company./business/company product relationship/company	company
/medicine/drug/active moieties	active moieties
/military/military conflict/casualties./military/casualties/combatant	combatant
/sports/professional sports team/draft picks./sports/sports league draft pick/player	player
/location/statistical region/places imported from./location/imports and exports/imported from	imported from
/geography/geographical feature/category	category
/sports/pro athlete/sports played professionally./sports/pro sports played/sport	sport
/baseball/baseball player/batting stats./baseball/batting statistics/season	season
/american football/football player/rushing./american football/player rushing statistics/season	season
/location/place with neighborhoods/neighborhoods	neighborhoods
/soccer/football player/position s	position s
/military/military person/service./military/military service/rank	rank
/base/popstra/celebrity/hangout./base/popstra/hangout/business location	business location
/military/military combatant/casualties./military/casualties/military conflict	military conflict
/organization/organization/geographic scope	geographic scope
/tv/tv program/regular cast./tv/regular tv appearance/seasons	seasons
/tennis/tennis player/matches lost./tennis/tennis match/winner	winner
/base/schemastaging/tv program extra/regular dubbing performances./base/schemastaging/tv star dubbing performance/actor	actor
/base/schemastaging/tv character extra/regular dubbing performances./base/schemastaging/tv star dubbing performance/language	language
/military/rank/used by services./military/military service/military person	military person
/education/academic/advisees	advisees
/travel/tourist attraction/near travel destination	near travel destination
/music/voice/singers	singers
/organization/role/leaders./organization/leadership/person	person
/base/yalebase/secret society/notable members./base/yalebase/secret society membership/member	member
/military/military combatant/military commanders./military/military command/military conflict	military conflict
/military/armed force/personnel./military/military service/military person	military person
/education/educational institution/sports teams	sports teams
/media common/adapted work/adaptations	adaptations
/award/hall of fame discipline/halls of fame	halls of fame
/user/szaijan/fantasy football/player/nfl team	nfl team
/government/legislative session/members./government/government position held/basic title	basic title
/religion/religion/organizations	organizations
/military/military commander/military commands./military/military command/military conflict	military conflict
/base/contractbridge/bridge player/first place finish./base/contractbridge/bridge tournament standings/first place	first place
/sports/sports team/roster./basketball/basketball roster position/player	player
/fictional universe/fictional character/based on	based on
/organization/organization/board members./organization/organization board membership/role	role
/baseball/baseball player/lifetime batting statistics./baseball/lifetime batting statistics/starting season	starting season
/basketball/basketball player/team./basketball/basketball roster position/position	position
/finance/currency/countries formerly used	countries formerly used
/language/human language/region	region
/sports/sports award winner/awards./sports/sports award/team	team
/aviation/airport/focus city for	focus city for
/aviation/airline/airports served./aviation/airline airport presence/cities served	cities served
/tv/tv program guest/appeared on./tv/tv guest personal appearance/appearance type	appearance type
/film/film casting director/films casting directed	films casting directed
/people/ethnicity/includes groups	includes groups
/award/long list nominee/long list nominations./award/long list nomination/award	award
/travel/transport terminus/travel destinations served./travel/transportation/mode of transportation	mode of transportation
/location/statistical region/gni per capita in ppp dollars./measurement unit/dated money value/currency	currency
/base/schemastaging/tv actor extra/regular dubbing performances./base/schemastaging/tv star dubbing performance/character	character
/book/book/genre	genre
/education/field of study/students majoring./education/education/minor	minor
/comic books/comic book character/created by	created by
/sports/sports position/players./basketball/basketball roster position/player	player
/base/schemastaging/tv actor extra/regular dubbing performances./base/schemastaging/tv star dubbing performance/language	language
/base/wrestling/solo wrestler or team/members	members
/sports/pro athlete/teams./american football/football historical roster position/position s	position s
/base/onephylogeny/type of thing/includes	includes
/sports/sports championship event/champion	champion
/aviation/airport/airlines./aviation/airline airport presence/airline	airline
/music/instrument/variation	variation
/base/x2010fifaworldcupsouthafrica/world cup participant/world cup team./base/x2010fifaworldcupsouthafrica/current world cup squad/position	position
/computer/software/license	license
/base/eating/diets/people who follow this diet	people who follow this diet
/education/academic/appointments fellowships etc./education/academic post/institution	institution
/fictional universe/fictional character/employers./fictional universe/fictional employment tenure/title	title
/fictional universe/fictional character/married to./fictional universe/marriage of fictional characters/spouses	spouses
/business/board member/leader of./organization/leadership/role	role
/film/film festival event/festival	festival
/sports/pro athlete/teams./baseball/baseball roster position/team	team
/base/fight/sports official/sport	sport
/basketball/basketball team/roster./basketball/basketball roster position/player	player
/education/educational institution/mascot	mascot
/visual art/visual artist/art forms	art forms
/user/robert/us congress/congressional caucus/current house members	current house members
/base/contractbridge/bridge player/second place finish./base/contractbridge/bridge tournament standings/second place	second place
/base/popstra/celebrity/eats at./base/popstra/restaurant choice/restaurant	restaurant
/sports/sports team/roster./american football/football historical roster position/player	player
/user/alexbl/honorary title/honorary title/titled people./user/alexbl/honorary title/honorary title holding/conferred upon	conferred upon
/sports/sports league/sport	sport
/user/tfmorris/default domain/document/signatories	signatories
/sports/pro athlete/teams./basketball/basketball roster position/team	team
/film/special film performance type/film performance type./film/performance/character	character
/broadcast/radio format/stations	stations
/fictional universe/character gender/characters of this gender	characters of this gender
/astronomy/orbital relationship/orbits	orbits
/astronomy/orbital relationship/orbited by	orbited by
/base/contractbridge/bridge player/second place finish./base/contractbridge/bridge tournament standings/first place	first place
/american football/football position/players	players
/fictional universe/fictional character/gender	gender
/government/political ideology/political parties	political parties
/government/legislative session/legislature	legislature
/base/popstra/business location/customer./base/popstra/hangout/customer	customer
/user/lindenb/default domain/scientist/known for	known for
/film/film/gross revenue./measurement unit/dated money value/currency	currency
/fictional universe/fictional character creator/fictional characters created	fictional characters created
/government/political district/representatives./government/government position held/basic title	basic title
/people/ethnicity/included in group	included in group
/film/film/film casting director	film casting director
/government/government office category/offices	offices
/government/government office category/officeholders./government/government position held/governmental body	governmental body
/basketball/basketball player/former teams./sports/sports team roster/team	team
/computer/computer manufacturer brand/computer models	computer models
/base/popstra/company/fashion choice./base/popstra/fashion choice/fashion wearer	fashion wearer
/basketball/basketball player/former teams./basketball/basketball historical roster position/team	team
/baseball/baseball player/lifetime batting statistics./baseball/lifetime batting statistics/last statistics season	last statistics season
/biology/organism classification/rank	rank
/tennis/tennis player/matches won./tennis/tennis match/loser	loser
/business/sponsor/sponsorship./business/sponsorship/sponsored recipient	sponsored recipient
/organization/organization sector/organizations in this sector	organizations in this sector
/base/popstra/celebrity/bought./base/popstra/product choice/product	product
/organization/organization/product of merger./organization/organization merger/organizations merging	organizations merging
/music/group member/artists supported	artists supported
/sports/sports championship event/championship	championship
/book/newspaper/circulation areas	circulation areas
/government/governmental body/members./government/government position held/basic title	basic title
/sports/sports championship/events	events
/user/tfmorris/default domain/signatory/documents signed	documents signed
/government/governmental jurisdiction/agencies	agencies
/music/artist/supporting artists	supporting artists
/government/governmental jurisdiction/governing officials./government/government position held/legislative sessions	legislative sessions
/sports/school sports team/school	school
/protected sites/site listing category/listed sites./protected sites/natural or cultural site listing/listed site	listed site
/internet/website owner/websites owned new./internet/website ownership/website	website
/religion/religion/notable figures	notable figures
/tv/tv program/episodes	episodes
/soccer/football player/current team./sports/sports team roster/position	position
/user/szaijan/fantasy football/player/position	position
/common/resource/annotations./common/webpage/category	category
/media common/literary genre/books in this genre	books in this genre
/soccer/football team/manager./soccer/football team management tenure/manager	manager
/travel/transport terminus/travel destinations served./travel/transportation/travel destination	travel destination
/tv/tv network/areas served	areas served
/protected sites/listed site/designation as natural or cultural site./protected sites/natural or cultural site listing/category or criteria	category or criteria
/government/government office or title/office holders./government/government position held/jurisdiction of office	jurisdiction of office
/olympics/olympic athlete/medals won./olympics/olympic medal honor/country	country
/visual art/visual artist/associated periods or movements	associated periods or movements
/music/instrument/family	family
/tv/tv character/appeared in tv episodes./tv/tv guest role/actor	actor
/basketball/basketball team/historical roster./basketball/basketball historical roster position/player	player
/government/governmental body/members./government/government position held/jurisdiction of office	jurisdiction of office
/government/governmental body/jurisdiction	jurisdiction
/government/political district/representatives./government/government position held/office holder	office holder
/user/robert/us congress/us representative/committee memberships	committee memberships
/visual art/visual art form/artists	artists
/music/artist/album	album
/government/government office or title/category	category
/american football/football coach position/coaches holding this position./american football/football historical coach position/team	team
/award/award presenting organization/awards presented	awards presented
/computer/software genre/software in genre	software in genre
/base/x2010fifaworldcupsouthafrica/world cup participant/world cup team./base/x2010fifaworldcupsouthafrica/current world cup squad/current club	current club
/baseball/baseball position/players	players
/people/appointer/appointment made./people/appointment/appointed role	appointed role
/tv/special tv performance type/starring performances./tv/regular tv appearance/series	series
/sports/sports league season/awards./sports/sports award/award	award
/sports/sports award type/winners./sports/sports award/season	season
/visual art/art period movement/associated artists	associated artists
/people/family member/family	family
/organization/role/governors./organization/organization board membership/organization	organization
/soccer/football player/goals scored./soccer/football goal/point awarded to	point awarded to
/computer/software developer/software	software
/media common/dedicatee/dedications./media common/dedication/work dedicated	work dedicated
/soccer/football team/league./soccer/football league participation/league	league
/business/sponsored recipient/sponsorship./business/sponsorship/sponsored by	sponsored by
/religion/religious organization/associated with	associated with
/base/contractbridge/bridge player/teammates./base/contractbridge/bridge player teammates/teammate	teammate
/american football/football player/former teams./american football/football historical roster position/position s	position s
/architecture/building function/buildings	buildings
/business/board member/leader of./organization/leadership/organization	organization
/film/film/film series	film series
/sports/sport/leagues	leagues
/military/military conflict/commanders./military/military command/military commander	military commander
/dining/cuisine/ingredients	ingredients
/government/politician/government positions held./government/government position held/district represented	district represented
/fictional universe/fictional character/character created by	character created by
/sports/sports team/championships	championships
/government/politician/government positions held./government/government position held/jurisdiction of office	jurisdiction of office
/sports/sports team/season record./sports/sports team season record/season	season
/government/governmental jurisdiction/governing officials./government/government position held/appointed by	appointed by
/biology/organism classification rank/organism classifications	organism classifications
/ice hockey/hockey position/players	players
/sports/sports award winner/awards./sports/sports award/season	season
/broadcast/content/genre	genre
/organization/organization/spun off from./organization/organization spin off/parent company	parent company
/organization/organization/involved in merger./organization/organization merger/became organization	became organization
/broadcast/broadcast/area served	area served
/business/consumer company/brands./business/company brand relationship/brand	brand
/tv/tv actor/guest roles./tv/tv guest role/episodes appeared in	episodes appeared in
/american football/football player/current team./sports/sports team roster/team	team
/geography/river/cities	cities
/dining/cuisine/dishes	dishes
/language/language dialect/language	language
/fictional universe/fictional setting/works set here	works set here
/base/crime/crime victim/crime	crime
/religion/religion/includes	includes
/time/event/included in event	included in event
/film/film character/portrayed in films dubbed./film/dubbing performance/film	film
/projects/project role/projects./projects/project participation/participant	participant
/education/field of study/academics in this field	academics in this field
/base/events/type of festival/recurring festivals of this type	recurring festivals of this type
/basketball/basketball player/team./sports/sports team roster/team	team
/sports/drafted athlete/drafted./sports/sports league draft pick/school	school
/aviation/airline/airports served./aviation/airline airport presence/airport	airport
/geography/body of water/islands	islands
/basketball/basketball player/team./sports/sports team roster/position	position
/comic books/comic book creator/characters created	characters created
/transportation/road/end2./transportation/road starting point/location	location
/sports/pro athlete/teams./american football/football roster position/position	position
/government/governmental jurisdiction/government positions	government positions
/architecture/architectural style/architects	architects
/tv/tv actor/guest roles./tv/tv guest role/special performance type	special performance type
/astronomy/celestial object category/objects	objects
/architecture/structure/architect	architect
/cvg/computer videogame/publisher	publisher
/sports/sports position/players./american football/football historical roster position/player	player
/geography/island/island group	island group
/baseball/baseball player/former teams./baseball/baseball historical roster position/team	team
/base/localfood/food producing region/seasonal availability./base/localfood/produce availability/produce	produce
/book/author/works written	works written
/tv/tv series season/regular cast./tv/regular tv appearance/actor	actor
/fictional universe/fictional universe/works set here	works set here
/religion/religion/places of worship	places of worship
/government/governmental jurisdiction/governing officials./government/government position held/district represented	district represented
/biology/animal breed/registered with./biology/breed registration/breed group	breed group
/cvg/computer videogame/game series	game series
/olympics/olympic athlete/country./olympics/olympic athlete affiliation/sport	sport
/tv/special tv performance type/starring performances./tv/regular tv appearance/character	character
/cvg/cvg genre/games	games
/sports/pro athlete/teams./baseball/baseball historical roster position/team	team
/base/petbreeds/dog breed/size./base/petbreeds/dog size/gender	gender
/olympics/olympic medal/medal winners./olympics/olympic medal honor/medalist	medalist
/basketball/basketball player/player statistics./basketball/basketball player stats/team	team
/base/popstra/celebrity/wears./base/popstra/fashion choice/designer	designer
/base/famouspets/pet owner/pets owned./base/famouspets/pet ownership/owner	owner
/government/government office or title/jurisdiction	jurisdiction
/government/governmental body/members./government/government position held/office position or title	office position or title
/base/thoroughbredracing/thoroughbred racehorse/color	color
/tv/tv program/regular cast./tv/regular tv appearance/character	character
/base/americancomedy/comedian/comedy genres	comedy genres
/travel/transport operator/travel destinations served./travel/transportation/transport operator	transport operator
/aviation/airline alliance/member airlines	member airlines
/base/events/festival series/type of festival	type of festival
/tv/tv series episode/series	series
/government/government office or title/office holders./government/government position held/basic title	basic title
/broadcast/radio station/owner	owner
/geography/river/basin countries	basin countries
/computer/operating system/includes os versions	includes os versions
/american football/football player/passing./american football/player passing statistics/season	season
/architecture/structure/architectural style	architectural style
/tv/tv program/subjects	subjects
/tv/tv actor/starring roles./tv/regular tv appearance/seasons	seasons
/music/genre/albums	albums
/cvg/computer videogame/subjects	subjects
/film/film/personal appearances./film/personal film appearance/type of appearance	type of appearance
/sports/tournament event competitor/events competed in./sports/competitor competition relationship/country	country
/tv/tv series episode/guest stars./tv/tv guest role/actor	actor
/cvg/cvg developer/games developed	games developed
/fictional universe/fictional universe/characters	characters
/award/hall of fame inductee/hall of fame inductions./award/hall of fame induction/category	category
/sports/drafted athlete/drafted./sports/sports league draft pick/team	team
/american football/football player/games./american football/player game statistics/team	team
/base/popstra/company/shopping choice./base/popstra/shopping choice/shopper	shopper
/venture capital/venture investor/investments./venture capital/venture investment/company	company
/government/governmental jurisdiction/government bodies	government bodies
/people/deceased person/place of cremation	place of cremation
/celebrities/celebrity/sexual orientation./celebrities/sexual orientation phase/sexual orientation	sexual orientation
/education/school/lowest grade taught	lowest grade taught
/tv/tv character/appeared in tv program./tv/regular tv appearance/special performance type	special performance type
/organization/role/governors./organization/organization board membership/member	member
/tv/non character role/tv guest personal appearances./tv/tv guest personal appearance/person	person
/government/government office or title/office holders./government/government position held/governmental body	governmental body
/location/location/nearby airports	nearby airports
/tv/non character role/tv regular personal appearances./tv/tv regular personal appearance/program	program
/medicine/disease/prevention factors	prevention factors
/book/written work/subjects	subjects
/cvg/computer videogame/gameplay modes	gameplay modes
/government/governmental body/offices positions	offices positions
/film/personal film appearance type/film appearances./film/personal film appearance/film	film
/biology/breed registry/recognized breeds./biology/breed registration/breed	breed
/award/hall of fame induction category/inductees./award/hall of fame induction/inductee	inductee
/film/actor/dubbing performances./film/dubbing performance/character	character
/base/localfood/produce/availability./base/localfood/produce availability/location	location
/base/popstra/restaurant/restaurant choice./base/popstra/restaurant choice/diner	diner
/sports/sports team/roster./american football/football roster position/player	player
/base/crime/crime victim/crime type	crime type
/computer/operating system developer/operating systems developed	operating systems developed
/religion/religion/is part of	is part of
/biology/animal breed/place of origin	place of origin
/user/narphorium/people/wealthy person/net worth./measurement unit/dated money value/currency	currency
/base/schemastaging/organization extra/phone number./base/schemastaging/phone sandbox/product or service	product or service
/travel/transport operator/travel destinations served./travel/transportation/mode of transportation	mode of transportation
/medicine/drug/legal status	legal status
/tv/tv program/spin offs	spin offs
/broadcast/producer/produces	produces
/media common/adaptation/adapted from	adapted from
/american football/football player/rushing./american football/player rushing statistics/team	team
/tv/tv character/appeared in tv program./tv/regular tv appearance/series	series
/cvg/game character/games./cvg/game performance/game	game
/soccer/football player/matches played./soccer/football player match participation/team	team
/government/government office category/officeholders./government/government position held/office position or title	office position or title
/ice hockey/hockey player/former team s./ice hockey/hockey previous roster position/team	team
/computer/software/developer	developer
/fictional universe/fictional setting/fictional characters born here	fictional characters born here
/aviation/airline/alliance	alliance
/baseball/baseball league/teams	teams
/olympics/olympic athlete/medals won./olympics/olympic medal honor/olympics	olympics
/games/game genre/boardgames	boardgames
/basketball/basketball player/team./basketball/basketball roster position/team	team
/base/rugby/rugby player/type of rugby	type of rugby
/government/governmental jurisdiction/governing officials./government/government position held/office position or title	office position or title
/medicine/infectious disease/infectious agent type	infectious agent type
/baseball/baseball player/current team./baseball/baseball roster position/position	position
/tv/tv series season/regular cast./tv/regular tv appearance/seasons	seasons
/biology/domesticated animal/breeds	breeds
/cvg/computer videogame/cvg genre	cvg genre
/film/film/dubbing performances./film/dubbing performance/character	character
/biology/breed origin/breeds originating here	breeds originating here
/religion/deity/deity of	deity of
/fictional universe/work of fiction/setting	setting
/broadcast/radio station/format	format
/sports/sports championship event/runner up	runner up
/film/film character/portrayed in films./film/performance/special performance type	special performance type
/computer/operating system/developer	developer
/food/ingredient/incompatible with dietary restrictions	incompatible with dietary restrictions
/architecture/type of museum/museums	museums
/american football/football player/games./american football/player game statistics/season	season
/computer/programming language designer/languages designed	languages designed
/baseball/baseball team/current roster./baseball/baseball roster position/player	player
/book/periodical subject/periodicals	periodicals
/ice hockey/hockey player/former team s./sports/sports team roster/team	team
/organization/organization/leadership./organization/leadership/person	person
/base/nobelprizes/nobel subject area/nobel awards./base/nobelprizes/nobel honor/subject area	subject area
/royalty/noble title/holders./royalty/noble title tenure/noble person	noble person
/ice hockey/hockey team/historical roster./sports/sports team roster/player	player
/basketball/basketball position/players	players
/base/argumentmaps/morally disputed activity/instance of abstract moral dispute	instance of abstract moral dispute
/base/contractbridge/bridge player/second place finish./base/contractbridge/bridge tournament standings/tournament	tournament
/base/fight/sentence/convictions./base/crime/criminal conviction/convicted person	convicted person
/sports/professional sports team/owner s	owner s
/ice hockey/hockey player/current team./sports/sports team roster/position	position
/aviation/airline/hubs	hubs
/common/annotation category/annotations	annotations
/location/it province/capital	capital
/tv/tv actor/guest roles./tv/tv guest role/character	character
/architecture/architect/architectural style	architectural style
/base/schemastaging/tv program extra/regular dubbing performances./base/schemastaging/tv star dubbing performance/character	character
/baseball/baseball team/league	league
/organization/organization/spin offs./organization/organization spin off/child company	child company
/film/film featured song/performed by	performed by
/computer/computer/compatible oses./computer/os compatibility/operating system	operating system
/dining/cuisine/restaurant	restaurant
/base/fashionmodels/hair color/fashion models with this hair color	fashion models with this hair color
/film/film company/films./film/film film company relationship/film	film
/base/argumentmaps/abstract moral dispute/particular instances	particular instances
/sports/sports team owner/teams owned	teams owned
/location/country/currency formerly used	currency formerly used
/user/tsegaran/computer/algorithm/family	family
/base/petbreeds/dog breed/group	group
/book/book subject/works	works
/comic books/comic book creator/series created	series created
/base/contractbridge/bridge tournament/standing./base/contractbridge/bridge tournament standings/second place	second place
/aviation/airport/serves	serves
/film/film/other film companies./film/film film company relationship/film company	film company
/cvg/computer game subject/games	games
/architecture/structure/address./location/mailing address/citytown	citytown
/travel/transport operator/travel destinations served./travel/transportation/travel destination	travel destination
/biology/animal breed/breed of	breed of
/government/governmental body/component bodies	component bodies
/geography/lake type/lakes of this type	lakes of this type
/sports/pro athlete/teams./baseball/baseball roster position/position	position
/cvg/computer videogame/characters./cvg/game performance/character	character
/music/album/artist	artist
/people/appointee/position./people/appointment/appointed role	appointed role
/education/school district/schools	schools
/aviation/airport/hub for	hub for
/computer/software/compatible oses./computer/software compatibility/operating system	operating system
/astronomy/star system body/star system	star system
/fictional universe/character powers/characters with this ability	characters with this ability
/architecture/architectural style/examples	examples
/sports/sports position/players./ice hockey/hockey roster position/player	player
/martial arts/martial artist/martial art	martial art
/fictional universe/work of fiction/part of these fictional universes	part of these fictional universes
/base/schemastaging/tv character extra/regular dubbing performances./base/schemastaging/tv star dubbing performance/program	program
/geography/geographical feature category/features	features
/american football/football team/historical coaching staff./american football/football historical coach position/position	position
/religion/religion/texts	texts
/media common/dedicated work/dedication./media common/dedication/dedicated to	dedicated to
/film/film festival/location	location
/theater/theater character/portrayed by./theater/theater role/actor	actor
/chemistry/chemical compound/solubility./chemistry/solubility relationship/solvent	solvent
/base/x2010fifaworldcupsouthafrica/world cup participant/world cup team./base/x2010fifaworldcupsouthafrica/current world cup squad/national team	national team
/biology/organism classification/organisms of this type	organisms of this type
/sports/sports team/roster./baseball/baseball roster position/player	player
/architecture/building/building function	building function
/theater/theater genre/plays in this genre	plays in this genre
/religion/religion/practices	practices
/base/ecology/ecosystem/ecosystem members	ecosystem members
/internet/website/category	category
/law/inventor/inventions	inventions
/fictional universe/character species/characters of this species	characters of this species
/periodicals/newspaper circulation area/newspapers	newspapers
/soccer/football team manager/team./soccer/football team management tenure/team	team
/base/newsevents/news reporting organisation/news reports./base/newsevents/news report/event	event
/people/appointed role/appointment./people/appointment/appointed by	appointed by
/baseball/baseball player/current team./baseball/baseball roster position/team	team
/education/academic/research areas	research areas
/user/robert/us congress/us representative/congressional caucus memberships	congressional caucus memberships
/tv/tv series episode/guest personal appearances./tv/tv guest personal appearance/person	person
/broadcast/content/language	language
/book/magazine/genre	genre
/book/written work/author	author
/baseball/baseball player/current team./sports/sports team roster/team	team
/music/concert tour/artist	artist
/base/crime/convicted criminal/convictions./base/crime/criminal conviction/sentence type	sentence type
/medicine/medical treatment/side effects	side effects
/common/webpage/category	category
/tv/tv program guest/appeared on./tv/tv guest personal appearance/episode	episode
/medicine/icd 9 cm classification/includes classifications	includes classifications
/base/yalebase/secret society member/belonged to./base/yalebase/secret society membership/society	society
/travel/transport terminus/travel destinations served./travel/transportation/transport terminus	transport terminus
/geography/lake/basin countries	basin countries
/internet/website category/sites	sites
/base/schemastaging/tv character extra/regular dubbing performances./base/schemastaging/tv star dubbing performance/actor	actor
/fictional universe/fictional character/children	children
/education/school/highest grade taught	highest grade taught
/royalty/monarch/kingdom	kingdom
/base/collectives/collective/members./base/collectives/collective membership/member	member
/fictional universe/fictional character/place of birth	place of birth
/base/infrastructure/power station/fuel type	fuel type
/base/fight/crime type/includes crimes	includes crimes
/fictional universe/fictional job title/fictional characters with this job./fictional universe/fictional employment tenure/employee	employee
/broadcast/broadcast/content	content
/common/topic/webpage./common/webpage/resource	resource
/comic books/comic book character/primary universe	primary universe
/book/periodical format/periodicals in this format./book/periodical format period/periodical	periodical
/geography/river/mouth	mouth
/organization/organization/involved in merger./organization/organization merger/organizations merging	organizations merging
/sports/pro athlete/teams./basketball/basketball roster position/position	position
/base/endorsements/endorsee/newspaper endorsements./base/endorsements/newspaper endorsement/newspaper	newspaper
/american football/football coach position/coaches holding this position./american football/football historical coach position/coach	coach
/comic books/comic book character/regular featured appearances	regular featured appearances
/broadcast/broadcast/distributor	distributor
/exhibitions/exhibition sponsor/exhibitions sponsored./exhibitions/exhibition run/sponsor	sponsor
/architecture/museum/address./location/mailing address/state province region	state province region
/basketball/basketball position/player roster position./sports/sports team roster/player	player
/location/statistical region/population./measurement unit/dated integer/source	source
/royalty/monarch/royal line	royal line
/theater/play/lyricist	lyricist
/sports/sports team/roster./ice hockey/hockey roster position/player	player
/martial arts/martial art/well known practitioner	well known practitioner
/education/academic/advisors	advisors
/location/location/street address./location/mailing address/citytown	citytown
/film/film series/films in series	films in series
/military/military post/used by armed forces./military/military post use/armed force	armed force
/user/robert/us congress/house committee/current members	current members
/aviation/aircraft model/number owned by./aviation/aircraft ownership count/aircraft owner	aircraft owner
/base/contractbridge/bridge tournament/standing./base/contractbridge/bridge tournament standings/first place	first place
/award/award category/long lists./award/long list nomination/nominee	nominee
/broadcast/content/broadcast	broadcast
/royalty/noble title/noble rank	noble rank
/cvg/computer videogame/sequel	sequel
/user/robert/military/military person/participated in conflicts	participated in conflicts
/religion/religious text/religious text of	religious text of
